"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"148","Nikola Kalinic (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"149","John FitzPatrick (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Tanner Conner (MIA)","0","3","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"151","Gerrit Prince (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Nick Muse (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Lucas Krull (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Cameron Latu (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"155","Noah Gindorff (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Andrew Ogletree (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Seth Green (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","E.J. Jenkins (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Thomas Greaney (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Travis Vokolek (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Julian Hill (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Johnny Lumpkin (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Ryan Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Nate Adkins (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","John Samuel Shenker (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Izaiah Gathings (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Brady Russell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Dalton Kincaid (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57.2%"
"172","Luke Schoonmaker (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"173","Luke Musgrave (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.0%"
"174","Tucker Kraft (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"175","Brenton Strange (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"176","Payne Durham (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Zack Kuntz (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"178","Ben Sims (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Ryan Jones (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Christian Trahan (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Brayden Willis (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Joel Wilson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Michael Ezeike (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Christian Sims (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Joel Honigford (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Blake Whiteheart (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Camren McDonald (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Griffin Hebert (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Derrick Deese Jr. (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Dominique Dafney (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Hunter Thedford (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Hunter Long (LAR)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"194","Kenny Yeboah (NYJ)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"195","Miller Forristall (NO)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"196","Matt Bushman (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Will Mallory (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Hunter Kampmoyer (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Zach Davidson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Bernhard Seikovits (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Nick Guggemos (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Davis Allen (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Austin Allen (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"204","Ben Mason (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"205","Josh Pederson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Josh Whyle (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"207","Darnell Washington (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"208","Sam LaPorta (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.7%"
"209","Michael Mayer (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.5%"
"210","Sammis Reyes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Elijah Higgins (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"212","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"224","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"225","Troy Fumagalli (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Jordan Thomas (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","David Wells (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Kevin Rader (TEN)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"229","Beau Brinkley (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.2%"
"230","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"231","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"232","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"233","Jesse James (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Nick Boyle (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
""
""
