"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"132","Zamir White (LV)","17","70","4.1","22","1","0","0","0","0","0","0","0","11","7.0","0.6","6.8%"
"133","Trestan Ebner (CHI)","24","54","2.3","11","0","0","2","8","8","4.0","0","1","11","6.2","0.6","0.1%"
"134","Anthony McFarland Jr. (PIT)","6","30","5.0","14","0","0","2","2","11","5.5","0","0","1","6.1","6.1","0.1%"
"135","Jakob Johnson (LV)","0","0","0","0","0","0","5","6","10","2.0","0","0","11","6.0","0.5","0.0%"
"136","Patrick Taylor Jr. (GB)","10","31","3.1","6","0","0","1","1","17","17.0","0","0","7","5.8","0.8","0.1%"
"137","Dwayne Washington (FA)","11","38","3.5","8","0","0","1","1","7","7.0","0","0","7","5.5","0.8","0.0%"
"138","D'Ernest Johnson (JAC)","4","17","4.3","7","0","0","3","3","7","2.3","0","0","10","5.4","0.5","0.6%"
"139","Larry Rountree III (LAC)","13","19","1.5","5","0","0","2","2","14","7.0","0","0","3","5.3","1.8","0.1%"
"140","Jonathan Ward (TEN)","5","25","5.0","12","0","0","2","3","7","3.5","0","0","4","5.2","1.3","0.0%"
"141","Adam Prentice (NO)","4","9","2.3","3","0","0","3","3","9","3.0","0","0","6","4.8","0.8","0.0%"
"142","Giovani Bernard (FA)","8","28","3.5","8","0","0","2","2","-1","-0.5","0","0","4","4.7","1.2","0.0%"
"143","Mike Davis (FA)","8","18","2.3","10","0","0","2","2","4","2.0","0","0","5","4.2","0.8","1.0%"
"144","Michael Burton (DEN)","5","7","1.4","6","0","0","2","3","11","5.5","0","0","12","3.8","0.3","0.1%"
"145","J.J. Taylor (NE)","10","9","0.9","5","0","0","1","1","8","8.0","0","0","1","2.7","2.7","0.1%"
"146","Demetric Felton Jr. (CLE)","1","-4","-4.0","0","0","0","2","4","8","4.0","0","0","6","2.4","0.4","0.0%"
"147","Keith Smith (ATL)","1","2","2.0","2","0","0","1","2","8","8.0","0","0","10","2.0","0.2","0.1%"
"148","Ty Chandler (MIN)","6","20","3.3","10","0","0","0","0","0","0","0","0","2","2.0","1.0","2.4%"
"149","Trey Sermon (PHI)","2","19","9.5","14","0","0","0","0","0","0","0","0","1","1.9","1.9","0.6%"
