,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints
382,Antonio,Gibson,2022,WAS,RB,24.0,Antonio Gibson,49.56521739130435,40.17391304347826,279.69565217391306,2.0869565217391304,81.10434782608696,231.2173913043478,963.3478260869564,8.217391304347826,4.478260869565218,3.0,165.9
383,Shane,Vereen,2014,NWE,RB,25.0,Shane Vereen,43.89655172413793,29.517241379310345,302.3793103448276,2.103448275862069,65.14137931034483,52.06896551724138,227.27586206896552,1.896551724137931,1.0,4.0,165.8
384,Raheem,Mostert,2019,SFO,RB,27.0,Raheem Mostert,4.344827586206897,3.724137931034482,15.517241379310343,0.0,53.19310344827586,23.379310344827587,173.3793103448276,0.6206896551724138,1.0,5.0,165.2
385,James,Conner,2020,PIT,RB,25.0,James Conner,51.0,42.27272727272727,347.90909090909093,2.212121212121212,84.77272727272727,155.0,664.5151515151515,7.151515151515151,2.1818181818181817,4.0,165.0
386,Austin,Ekeler,2020,LAC,RB,25.0,Austin Ekeler,91.2608695652174,75.8695652173913,813.7391304347826,6.478260869565218,81.66956521739131,124.08695652173913,556.0869565217391,3.0,2.391304347826087,4.0,165.0
387,Rashad,Jennings,2015,NYG,RB,30.0,Rashad Jennings,43.83783783783784,32.432432432432435,252.75675675675677,0.0,73.92972972972973,165.3783783783784,677.1081081081081,4.8108108108108105,0.5945945945945946,6.0,164.89999999999995
388,Justin,Fargas,2007,OAK,RB,27.0,Justin Fargas,16.130434782608695,9.347826086956522,66.04347826086956,0.0,49.14782608695653,125.34782608695652,466.9565217391304,0.6956521739130435,0.6956521739130435,5.0,164.7
389,Willis,McGahee,2006,BUF,RB,25.0,Willis McGahee,36.66666666666666,26.0,175.0,0.0,70.83333333333333,311.3333333333333,1207.3333333333333,7.666666666666667,2.0,3.0,164.6
390,Marshawn,Lynch,2017,OAK,RB,31.0,Marshawn Lynch,21.0,13.0,80.0,0.0,61.9,111.0,417.0,3.0,0.0,10.0,164.2
391,Myles,Gaskin,2020,MIA,RB,23.0,Myles Gaskin,12.0,7.0,51.0,0.0,58.3,36.0,133.0,1.0,0.0,2.0,164.0
392,Tarik,Cohen,2019,CHI,RB,24.0,Tarik Cohen,84.33333333333333,65.0,601.0,3.6666666666666665,76.86666666666666,95.0,419.3333333333333,2.6666666666666665,5.666666666666667,3.0,163.9
393,DeAngelo,Williams,2013,CAR,RB,30.0,DeAngelo Williams,21.666666666666668,14.0,169.66666666666666,1.3333333333333333,64.66666666666667,167.0,770.0,5.666666666666667,1.3333333333333333,8.0,163.6
394,Fred,Taylor,2007,JAX,RB,31.0,Fred Taylor,25.317073170731707,20.317073170731707,199.34146341463412,0.7317073170731707,79.44390243902438,221.0731707317073,1049.6829268292684,4.463414634146342,2.1951219512195124,10.0,163.0
395,Jamal,Lewis,2008,CLE,RB,29.0,Jamal Lewis,34.47826086956522,25.82608695652174,201.7391304347826,1.3043478260869563,74.22173913043478,303.5652173913044,1244.1739130434785,9.0,4.0,8.0,163.0
396,Todd,Gurley,2020,ATL,RB,26.0,Todd Gurley,59.18181818181818,39.90909090909091,325.6818181818182,2.636363636363636,66.32272727272726,233.5,982.3636363636364,13.590909090909092,2.363636363636364,6.0,163.0
397,Tony,Pollard,2021,DAL,RB,24.0,Tony Pollard,33.61702127659574,23.851063829787236,165.5531914893617,1.0,71.59574468085107,96.2127659574468,441.3829787234043,3.3617021276595747,0.3191489361702128,3.0,163.0
398,Darrell,Henderson,2021,LAR,RB,24.0,Darrell Henderson,18.55813953488372,12.372093023255816,122.11627906976744,0.6976744186046512,66.7,108.06976744186046,479.7906976744186,3.488372093023256,0.0,3.0,163.0
399,Jonathan,Stewart,2015,CAR,RB,28.0,Jonathan Stewart,26.5,21.625,155.3125,0.8125,84.2375,151.1875,691.0625,2.4375,1.8125,8.0,162.8
400,Darren,Sproles,2016,PHI,RB,33.0,Darren Sproles,76.29787234042553,50.212765957446805,387.6808510638298,0.6808510638297872,65.72553191489361,74.70212765957447,320.82978723404256,3.9574468085106393,2.6382978723404253,11.0,162.5
