"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"246","Dazz Newsome (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Jeff Cotton Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Stanley Morgan Jr. (CIN)","0","1","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"249","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Dez Fitzpatrick (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","KeeSean Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","Tyler Johnson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"253","Demetric Felton Jr. (CLE)","2","4","8","4.0","5","0","0","1","-4","0","0","6","0.0","0.0","0.0%"
"254","Dan Chisena (PIT)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"255","Quinton Bell (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"256","Irvin Charles (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Rodney Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Kwamie Lassiter II (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Kendric Pryor (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Mike Harley Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Kekoa Crawford (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Ethan Fernea (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"263","Lance McCutcheon (LAR)","0","5","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"264","Gavin Holmes (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"265","Jaray Jenkins (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
